Kind,Name,CountLineCode,CountDeclClass,CountDeclFunction,CountLineCodeDecl,SumEssential,SumCyclomaticStrict,MaxEssential,MaxCyclomaticStrict,MaxNesting
Public Method,"org.apache.nifi.processors.standard.SplitXml.getRelationships",3,,,1,1,1,,,0
Protected Method,"org.apache.nifi.processors.standard.SplitXml.getSupportedPropertyDescriptors",3,,,1,1,1,,,0
Protected Method,"org.apache.nifi.processors.standard.SplitXml.init",10,,,3,1,1,,,0
Public Method,"org.apache.nifi.processors.standard.SplitXml.onTrigger",46,,,14,4,7,,,2
Lambda Method,"org.apache.nifi.processors.standard.SplitXml.onTrigger.(lambda_expr_1)",8,,,2,2,2,,,0
Lambda Method,"org.apache.nifi.processors.standard.SplitXml.onTrigger.(lambda_expr_1).(lambda_expr_2)",1,,,0,1,1,,,0
Lambda Method,"org.apache.nifi.processors.standard.SplitXml.onTrigger.(lambda_expr_3)",14,,,2,1,2,,,0
Lambda Method,"org.apache.nifi.processors.standard.SplitXml.onTrigger.(lambda_expr_4)",4,,,0,1,1,,,0
Package,"org.apache.nifi.security",0,0,,0,0,0,0,0,0
Package,"org.apache.nifi.security.xml",23,1,,10,2,4,1,2,1
Public Class,"org.apache.nifi.security.xml.XmlUtils",17,,,4,2,4,1,2,1
Public Static Method,"org.apache.nifi.security.xml.XmlUtils.createSafeReader",6,,,1,1,2,,,1
Public Static Method,"org.apache.nifi.security.xml.XmlUtils.createSafeReader",9,,,2,1,2,,,1
Package,"org.apache.struts2",0,0,,0,0,0,0,0,0
Package,"org.apache.struts2.config_browser",117,3,,52,12,20,1,5,2
Public Class,"org.apache.struts2.config_browser.ShowBeansAction",81,,,24,4,9,1,5,2
Public Class,"org.apache.struts2.config_browser.ShowBeansAction.Binding",35,,,12,6,8,1,3,1
Public Constructor,"org.apache.struts2.config_browser.ShowBeansAction.Binding.Binding",6,,,1,1,1,,,0
Public Method,"org.apache.struts2.config_browser.ShowBeansAction.Binding.compareTo",11,,,2,1,3,,,1
Public Method,"org.apache.struts2.config_browser.ShowBeansAction.Binding.getAlias",3,,,1,1,1,,,0
Public Method,"org.apache.struts2.config_browser.ShowBeansAction.Binding.getConstant",3,,,1,1,1,,,0
Public Method,"org.apache.struts2.config_browser.ShowBeansAction.Binding.getImpl",3,,,1,1,1,,,0
Public Method,"org.apache.struts2.config_browser.ShowBeansAction.Binding.isDefault",3,,,1,1,1,,,0
Protected Method,"org.apache.struts2.config_browser.ShowBeansAction.addBindings",17,,,4,1,5,,,2
Public Method,"org.apache.struts2.config_browser.ShowBeansAction.getBeans",3,,,1,1,1,,,0
Method,"org.apache.struts2.config_browser.ShowBeansAction.getInstanceClassName",9,,,3,1,2,,,1
Public Method,"org.apache.struts2.config_browser.ShowBeansAction.setContainer",13,,,1,1,1,,,0
Public Class,"org.apache.struts2.config_browser.ShowConstantsAction",13,,,5,2,3,1,2,1
Public Method,"org.apache.struts2.config_browser.ShowConstantsAction.getConstants",3,,,1,1,1,,,0
Public Method,"org.apache.struts2.config_browser.ShowConstantsAction.setContainer",6,,,1,1,2,,,1
Package,"org.apache.struts2.convention",292,2,,100,32,70,6,18,5
Public Class,"org.apache.struts2.convention.ConventionUnknownHandler",264,,,72,31,69,6,18,5
Public Constructor,"org.apache.struts2.convention.ConventionUnknownHandler.ConventionUnknownHandler",18,,,5,1,2,,,1
Public Static Class,"org.apache.struts2.convention.ConventionUnknownHandler.Resource",8,,,4,1,1,1,1,0
Public Constructor,"org.apache.struts2.convention.ConventionUnknownHandler.Resource.Resource",4,,,1,1,1,,,0
Protected Method,"org.apache.struts2.convention.ConventionUnknownHandler.buildActionConfig",15,,,7,1,2,,,1
Protected Method,"org.apache.struts2.convention.ConventionUnknownHandler.buildResult",14,,,4,1,3,,,1
Protected Method,"org.apache.struts2.convention.ConventionUnknownHandler.canonicalize",6,,,1,1,2,,,1
Protected Method,"org.apache.struts2.convention.ConventionUnknownHandler.determinePath",18,,,2,1,7,,,2
Protected Method,"org.apache.struts2.convention.ConventionUnknownHandler.findResource",18,,,2,4,6,,,3
Protected Method,"org.apache.struts2.convention.ConventionUnknownHandler.findResult",25,,,4,4,10,,,3
Public Method,"org.apache.struts2.convention.ConventionUnknownHandler.handleUnknownAction",52,,,10,6,18,,,5
Public Method,"org.apache.struts2.convention.ConventionUnknownHandler.handleUnknownActionMethod",3,,,1,1,1,,,0
Public Method,"org.apache.struts2.convention.ConventionUnknownHandler.handleUnknownResult",38,,,12,5,10,,,3
Private Method,"org.apache.struts2.convention.ConventionUnknownHandler.scanResultsByExtension",29,,,6,5,6,,,2
Protected Method,"org.apache.struts2.convention.ConventionUnknownHandler.string",7,,,2,1,2,,,1
Package,"org.cloudfoundry",0,0,,0,0,0,0,0,0
